"match_id","radiant_win","duration","radiant_score","dire_score","leagueid","start_time","lobby_type","game_mode","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10"
677459470,TRUE,2921,0,0,600,1400926328,1,2,1522705,20378728,31078647,86726887,86799300,87285329,87382579,89154291,90810663,130659032
677458214,FALSE,1755,0,0,600,1400926332,1,2,69325073,75750590,86747757,86750262,86870856,88792641,89742217,91918857,94049589,98018029
677462740,FALSE,1701,0,0,600,1400926342,1,2,53178236,76600360,89137399,91460772,91701543,96196828,125304246,134556694,150419909,159020918
677592408,FALSE,2281,0,0,600,1400930845,1,2,31078647,86726887,86799300,86840554,87285329,87382579,89782335,112250781,123787524,124049453
677590955,TRUE,1879,0,0,600,1400930997,1,2,69325073,86747757,88792641,89742217,91460772,91701543,91918857,125304246,150419909,159020918
677595704,FALSE,2046,0,0,600,1400931321,1,2,6103402,20237599,25907144,26682464,43720230,65623472,81150290,86664345,92968238,97590558
677595091,FALSE,1640,0,0,600,1400931530,1,2,1522705,20378728,53178236,76600360,89137399,89154291,90810663,96196828,130659032,134556694
677738070,TRUE,1879,0,0,600,1400935835,1,2,1522705,20378728,86840554,89154291,89782335,90810663,112250781,123787524,124049453,130659032
677739681,FALSE,2396,0,0,600,1400935902,1,2,53178236,69325073,76600360,86747757,88792641,89137399,89742217,91918857,96196828,134556694
677739913,TRUE,1979,0,0,600,1400935914,1,2,20237599,25907144,26682464,65623472,75750590,86750262,86870856,94049589,97590558,98018029
677738476,FALSE,2618,0,0,600,1400935959,1,2,6103402,26316691,36547811,43720230,81150290,86664345,87586992,92968238,93712171,107644273
677897149,FALSE,1575,0,0,600,1400939175,1,2,6103402,31078647,43720230,81150290,86664345,86726887,86799300,87285329,87382579,92968238
677897703,FALSE,1846,0,0,600,1400940489,1,2,20237599,25907144,26682464,65623472,91460772,91701543,97590558,125304246,150419909,159020918
677895646,TRUE,2029,0,0,600,1400940535,1,2,26316691,36547811,75750590,86750262,86870856,87586992,93712171,94049589,98018029,107644273
677897918,TRUE,1441,0,0,600,1400940602,1,2,53178236,76600360,86840554,89137399,89782335,96196828,112250781,123787524,124049453,134556694
678061731,TRUE,1838,0,0,600,1400943999,1,2,31078647,75750590,86726887,86750262,86799300,86870856,87285329,87382579,94049589,98018029
678060154,FALSE,3207,0,0,600,1400945304,1,2,26316691,36547811,87586992,91460772,91701543,93712171,107644273,125304246,150419909,159020918
678062657,FALSE,1918,0,0,600,1400945324,1,2,1522705,6103402,20378728,43720230,81150290,86664345,89154291,90810663,92968238,130659032
678064820,TRUE,1529,0,0,600,1400945524,1,2,20237599,25907144,26682464,65623472,69325073,86747757,88792641,89742217,91918857,97590558
678213665,TRUE,1718,0,0,600,1400950107,1,2,26316691,36547811,69325073,86747757,87586992,88792641,89742217,91918857,93712171,107644273
678214809,FALSE,2654,0,0,600,1400950110,1,2,6103402,43720230,81150290,86664345,86840554,89782335,92968238,112250781,123787524,124049453
678215169,FALSE,1679,0,0,600,1400950203,1,2,1522705,20378728,75750590,86750262,86870856,89154291,90810663,94049589,98018029,130659032
678215431,TRUE,1465,0,0,600,1400950393,1,2,20237599,25907144,26682464,53178236,65623472,76600360,89137399,96196828,97590558,134556694
